sessionId,action
07402BD1578309D087A8B4223A7F2E13.i1,"189,130,160,160,160,160,160,160,160,160,160,160,130,100,101,160,160,160,160,160,160,189,160,130,160,189,160,130,160,160,160,160,160,160,189,160,130,189,160,130,160,160,160,160,160,160,189,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,130"
0747461EE01D371F5C70E6CB5D0A4A28.i1,"160,160,160,160,160,160,160,160,160,189,160,130,160,160,160,160,160,160,160,160,160,160,130,100,101,160,160,160,160,160,160,160,160,160,189,160,130"
075FA085F251C0313C43E11B8AC5C5CD,"160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160,100,160,160,160,130,160,160,160,160,160,160,160,160"
077109F89DA7D27817BEB70F705BC8FC.i1,"189,130,100,160,160,160,189,130,120,110,189,160,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,130,189,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,100,160,160,160,189,130,120,110,189,160,130,160,160,160,160,160,160,160,160,160,130,189,160,160,160,160,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,130"
077176B48AA15CD6A07A4A5288ECD22D.i1,"160,130,160,160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,160,160,160"
077EC0E78249309592A7DF44D5FA2234.i2,"189,130,100,160,160,160,160,160,160,160,160,160,160,130,101,189,160,160,160,160,160,160,160,160,160,160,130"
07D47637A26F8805FD75498EC1AC460B.i1,"160,160,160,160,160,160,160,160,160,189,160,130,100,189,160,160,160,160,160,160,160,160,160,160,130,100,160,160,160,160,160,160,160,160,160,130,101,160,160,160,160,160,160,160,160,189,160,130,189,160,160,160,160,160,160,130,112,160,160,160,160,160,160,160,160,189,160,130,130,160,160,160,189,160,112,110,160,160,160,160,160,160,160,160,160,189,160,130"
07E5ECB0C5513FF1A8B8C1946B4B21C2.i1,"130,100,160,160,160,160,160,160,160,160,130"
07EA0665A01EBE89717298A4F231A574,"130,100,130,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160"
07EB93574137C06134EA2CDB47F22C39.i1,"189,130,130,189,130,110,189,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,189,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,130,160,130,189,160,160,160,160,189,100,189,160,160,160,160,160,160,160,160,160,160,130,100,160,160,160,160,160,160,160,160,160,189,160,130"
08226D54E46886326DE7EC19D80B51DA.i1,"160,160,160,160,160,160,160,160,160,160,130,160,160,160,160,160,160,160,160,160,189,160,130,100"
